feature,count,mean,median,max
MagpieData range NdUnfilled,85,1.516086784022727,1.6179189371725158,1.6179189371725158
range local difference in NfUnfilled,84,3.357637508647611,3.6567795132708225,4.867364944462035
MagpieData avg_dev MeltingT,83,2.5458463493771486,2.6041201137768732,4.232482020777546
MagpieData mode SpaceGroupNumber,83,1.2135080355720045,1.210926706181677,1.3575190436639628
avg_dev local difference in NUnfilled,79,2.4933393731630558,1.8653143965009042,5.903803547287251
MagpieData mode GSbandgap,78,4.495567304932988,4.994147045296065,4.994147045296065
MagpieData mode NsUnfilled,78,3.02766068919251,3.02766068919251,3.02766068919251
minimum local difference in GSbandgap,73,2.407161892086518,2.195846688403374,6.09669312251686
minimum local difference in NdValence,56,2.0808007505107344,2.0165730006469174,3.7192389416666622
MagpieData mode Column,52,1.2821646772145785,1.295852160256379,1.4614357749712246
MagpieData range NUnfilled,48,2.7450231899008486,3.670208321322604,4.185433415642467
minimum local difference in NfValence,47,2.3667167221338525,2.0233682139410996,5.031260670790336
MagpieData mean GSmagmom,46,2.1373437261148833,2.18422559469359,4.799816653165119
minimum local difference in MeltingT,38,2.1224378117130676,2.0555552701855317,6.35628229276075
avg_dev local difference in NpUnfilled,36,1.8064764554594275,1.8163119740309341,3.1383470547156254
MagpieData mean NpUnfilled,31,2.0869498591022846,1.8055174787529633,3.5469154409942703
MagpieData mean GSvolume_pa,24,1.8330088784965426,1.8923274966550276,2.8955458951384614
minimum local difference in NValence,23,2.7484887515028533,2.6960630472205,5.211725735519143
MagpieData mode Number,20,2.4544148508683716,2.5354367744004405,3.098089021150921
MagpieData mode NdValence,18,1.8813115901766233,1.881311590176623,1.881311590176623
MagpieData mode NfValence,17,3.448678175219296,3.630606111587699,3.630606111587699
MagpieData maximum MendeleevNumber,17,1.5543741749947761,1.6025910924994857,1.6025910924994857
MagpieData mode NpUnfilled,15,2.3208589314025185,2.0803095100480364,2.801957774111483
MagpieData mode NValence,14,3.2089407859819477,3.4677022510854925,3.7264637161890373
MagpieData mode GSvolume_pa,14,2.703786008433187,2.8881448084614276,3.6405078466333602
MagpieData mean AtomicWeight,12,1.6391755871190934,1.3682691768359727,3.1589648044917973
MagpieData mode NdUnfilled,11,3.1004285393252418,2.253588866847556,4.323641399570787
MagpieData mean NUnfilled,9,3.2172130539907715,2.1455081147028716,6.372470368008503
MagpieData avg_dev NpUnfilled,9,1.381151105564789,1.5179015663962492,1.5179015663962492
MagpieData mode NfUnfilled,8,5.805661159121912,6.613675203923775,8.229703293527505
MagpieData mode NUnfilled,8,4.481425073200308,3.1989973876488724,7.7368184288308735
minimum local difference in NUnfilled,5,3.0105509441275435,3.1270654179931103,3.32907769831689
minimum local difference in NdUnfilled,5,1.9762125908233947,1.5392207911986118,3.6067871660000477
MagpieData mode GSmagmom,2,8.539089577627625,8.539089577627625,8.539089577627625
